ttft,prompt_length,prompt_length_bin,prompt_length_bin_mid
35.8130000000092,975,"(945.735, 980.853]",963.294
17.312000000005355,981,"(980.853, 986.706]",983.7795
27.921999999991385,990,"(986.706, 992.559]",989.6324999999999
24.437999999994645,1000,"(998.412, 1004.265]",1001.3385000000001
16.671000000002095,1001,"(998.412, 1004.265]",1001.3385000000001
17.187999999994645,1016,"(1015.971, 1021.824]",1018.8975
19.405999999988126,1024,"(1021.824, 1027.677]",1024.7504999999999
42.84399999999732,1027,"(1021.824, 1027.677]",1024.7504999999999
35.10899999999674,1043,"(1039.383, 1045.236]",1042.3095
13.156000000002678,1042,"(1039.383, 1045.236]",1042.3095
21.60899999999674,1074,"(1068.648, 1074.501]",1071.5745
20.780999999988126,1098,"(1097.913, 1103.766]",1100.8395
18.48399999999674,1154,"(1150.59, 1156.443]",1153.5165
28.75,1176,"(1174.002, 1179.855]",1176.9285
39.13999999999942,1247,"(1244.238, 1250.091]",1247.1644999999999
32.51600000000326,1253,"(1250.091, 1255.944]",1253.0175
11.953999999997905,1325,"(1320.327, 1326.18]",1323.2535
11.953999999997905,1325,"(1320.327, 1326.18]",1323.2535
25.5,1405,"(1402.269, 1408.122]",1405.1955
21.078000000008615,1474,"(1472.505, 1478.358]",1475.4315000000001
24.187000000005355,1484,"(1478.358, 1484.211]",1481.2845
21.202999999994063,1493,"(1490.064, 1495.917]",1492.9904999999999
19.077999999994063,1569,"(1566.153, 1572.006]",1569.0795
39.28100000000268,1588,"(1583.712, 1589.565]",1586.6385
28.718000000008033,1595,"(1589.565, 1595.418]",1592.4915
15.078000000008615,1691,"(1689.066, 1694.919]",1691.9925
21.656999999991967,2115,"(2110.482, 2116.335]",2113.4085
55.39100000000326,2251,"(2250.954, 2256.807]",2253.8805
33.85899999999674,2360,"(2356.308, 2362.161]",2359.2345
40.46899999999732,2484,"(2479.221, 2485.074]",2482.1475
40.76499999999942,2496,"(2490.927, 2496.78]",2493.8535
29.406999999991967,2650,"(2648.958, 2654.811]",2651.8845
23.593999999997322,2655,"(2654.811, 2660.664]",2657.7375
23.094000000011874,2749,"(2748.459, 2754.312]",2751.3855
24.75,2940,"(2935.755, 2941.608]",2938.6815
28.297000000005937,3021,"(3017.697, 3023.55]",3020.6235
49.844000000011874,3426,"(3421.554, 3427.407]",3424.4805
12.812999999994645,3455,"(3450.819, 3456.672]",3453.7455
31.125,3588,"(3585.438, 3591.291]",3588.3645
37.95299999999406,3731,"(3725.91, 3731.763]",3728.8365
40.09399999999732,3988,"(3983.442, 3989.295]",3986.3685
37.03100000000268,4861,"(4855.539, 4861.392]",4858.4655
30.125,5042,"(5036.982, 5042.835]",5039.9085
34.79700000000594,5408,"(5405.721, 5411.574]",5408.647499999999
32.687000000005355,6387,"(6383.172, 6389.025]",6386.0985
29.139999999999418,6906,"(6904.089, 6909.942]",6907.0154999999995
33.796999999991385,7072,"(7067.973, 7073.826]",7070.8994999999995
39.23399999999674,7206,"(7202.592, 7208.445]",7205.5185
32.530999999988126,7737,"(7735.215, 7741.068]",7738.1415
34.328000000008615,7860,"(7858.128, 7863.981]",7861.0545
15.327999999994063,9347,"(9344.79, 9350.643]",9347.7165
20.531000000002678,9538,"(9537.939, 9543.792]",9540.8655
26.860000000000582,9564,"(9561.351, 9567.204]",9564.2775
20.110000000000582,9650,"(9649.146, 9654.999]",9652.0725
19.73399999999674,9879,"(9877.413, 9883.266]",9880.3395
47.296999999991385,10034,"(10029.591, 10035.444]",10032.5175
26.48399999999674,10453,"(10451.007, 10456.86]",10453.9335
28.906999999991967,11978,"(11972.787, 11978.64]",11975.7135
27.5,12880,"(12874.149, 12880.002]",12877.075499999999
29.906000000002678,13867,"(13863.306, 13869.159]",13866.2325
19.639999999999418,13921,"(13915.983, 13921.836]",13918.9095
26.328999999997905,14880,"(14875.875, 14881.728]",14878.8015
29.406999999991967,15020,"(15016.347, 15022.2]",15019.2735
23.718999999997322,16940,"(16936.131, 16941.984]",16939.057500000003
42.687000000005355,16989,"(16988.808, 16994.661]",16991.7345
19.281000000002678,17137,"(17135.133, 17140.986]",17138.059500000003
36.28100000000268,17656,"(17650.197, 17656.05]",17653.1235
36.71899999999732,18557,"(18551.559, 18557.412]",18554.485500000003
39.437999999994645,18892,"(18891.033, 18896.886]",18893.959499999997
34.26600000000326,19280,"(19277.331, 19283.184]",19280.2575
45.67200000000594,20020,"(20014.809, 20020.662]",20017.735500000003
16.125,20230,"(20225.517, 20231.37]",20228.4435
22.202999999994063,22020,"(22016.535, 22022.388]",22019.461499999998
24.546999999991385,22204,"(22203.831, 22209.684]",22206.7575
19.218999999997322,23972,"(23971.437, 23977.29]",23974.3635
24.625,24900,"(24896.211, 24902.064]",24899.137499999997
17.312000000005355,25720,"(25715.631, 25721.484]",25718.557500000003
19.51600000000326,26900,"(26897.937, 26903.79]",26900.8635
43.39100000000326,27543,"(27541.767, 27547.62]",27544.6935
35.23399999999674,27669,"(27664.68, 27670.533]",27667.6065
44.59399999999732,28713,"(28712.367, 28718.22]",28715.2935
25.171999999991385,28993,"(28987.458, 28993.311]",28990.3845
13.671999999991385,29016,"(29010.87, 29016.723]",29013.7965
36.76600000000326,30240,"(30234.147, 30240.0]",30237.0735
