ttft,prompt_length
12.281000000002678,975
6.562999999994645,981
19.578999999997905,990
4.422000000005937,1000
8.562000000005355,1001
10.406000000002678,1016
10.35899999999674,1024
11.156000000002678,1027
11.531999999991967,1042
16.452999999994063,1043
12.093999999997322,1074
11.921000000002095,1098
4.889999999999418,1154
14.172000000005937,1176
15.25,1247
10.313000000009197,1253
13.218999999997322,1325
13.218999999997322,1325
26.26600000000326,1405
12.39100000000326,1474
9.952999999994063,1484
22.953000000008615,1493
12.843999999997322,1569
17.375,1588
17.65700000000652,1595
7.875,1691
17.218000000008033,2115
19.343999999997322,2251
11.98399999999674,2360
11.5,2484
12.75,2496
8.172000000005937,2650
16.703000000008615,2655
9.25,2740
6.64100000000326,2749
19.25,2939
6.5310000000026776,2940
19.25,3021
11.313000000009197,3426
7.389999999999418,3455
21.813000000009197,3588
14.85899999999674,3731
12.546999999991385,3988
19.281000000002678,4861
13.437000000005355,5042
31.155999999988126,5408
21.452999999994063,5798
18.5,6387
12.5,6906
12.14100000000326,7072
21.718999999997322,7206
16.327999999994063,7737
18.577999999994063,7860
16.828000000008615,8315
10.764999999999418,9347
16.077999999994063,9538
15.312000000005355,9564
22.468999999997322,9650
23.077999999994063,9879
13.655999999988126,10034
17.656000000002678,10453
17.562000000005355,10991
17.60899999999674,11978
6.85899999999674,12880
7.98399999999674,13867
13.85899999999674,13921
14.328000000008615,14155
10.781000000002678,14880
24.25,14907
20.26600000000326,15020
10.639999999999418,16413
15.687000000005355,16924
17.639999999999418,16940
11.264999999999418,16989
6.297000000005937,17137
24.687999999994645,17656
11.562000000005355,18557
16.437999999994645,18892
5.875,19280
19.375,20020
7.98399999999674,20230
6.23399999999674,22020
14.171000000002095,22204
25.297000000005937,23494
18.437000000005355,23972
12.953000000008615,24900
16.968999999997322,25720
15.562000000005355,26900
21.687000000005355,27543
29.35899999999674,27669
28.0,28713
16.48399999999674,28993
8.0,29016
15.953000000008615,30240
