,cdf,End to End Latency
0,0.0,20.26713286000765
1,0.01,20.26713286000765
2,0.02,20.676556240123897
3,0.03,21.09425052394139
4,0.04,21.9112571309243
5,0.05,22.66904959863203
6,0.06,22.66904959863203
7,0.07,23.35942517292192
8,0.08,23.926833227529155
9,0.09,25.304963872946626
10,0.1,25.406386472214354
11,0.11,25.457250108795368
12,0.12,25.457250108795368
13,0.13,25.61045280900837
14,0.14,25.919629696988366
15,0.15,26.285056654635955
16,0.16,27.467420804193367
17,0.17,27.632720788170655
18,0.18,27.632720788170655
19,0.19,28.47426270638485
20,0.2,29.695651778726894
21,0.21,30.295543939595497
22,0.22,30.969431716511867
23,0.23,31.155806935467375
24,0.24,31.155806935467375
25,0.25,31.21818092332617
26,0.26,31.78519619708015
27,0.27,32.04049769614657
28,0.28,32.104642836679396
29,0.29,32.75319986141552
30,0.3,32.75319986141552
31,0.31,32.75319986141552
32,0.32,32.88447508002318
33,0.33,32.950309864968155
34,0.34,32.950309864968155
35,0.35000000000000003,33.348095657277305
36,0.36,33.348095657277305
37,0.37,33.75068363618836
38,0.38,33.81825257239694
39,0.39,33.88595678175108
40,0.4,34.08988375956996
41,0.41000000000000003,34.295037977704055
42,0.42,34.295037977704055
43,0.43,34.77854532472673
44,0.44,35.12807563327819
45,0.45,35.198402111022496
46,0.46,35.41022743479259
47,0.47000000000000003,35.623327531424515
48,0.48,35.623327531424515
49,0.49,35.83771007254983
50,0.5,35.83771007254983
51,0.51,35.981348045147264
52,0.52,36.48862977339375
53,0.53,36.48862977339375
54,0.54,36.708219736349946
55,0.55,37.225749238728305
56,0.56,37.750575111994586
57,0.5700000000000001,38.05379106060644
58,0.58,38.12997482649355
59,0.59,38.12997482649355
60,0.6,38.35944246645889
61,0.61,38.51318757279229
62,0.62,38.8225288919459
63,0.63,39.212701924648975
64,0.64,39.448685457506215
65,0.65,39.448685457506215
66,0.66,39.5276618047685
67,0.67,39.845151470422216
68,0.68,40.731458730619785
69,0.6900000000000001,40.81300319254295
70,0.7000000000000001,40.976582199748535
71,0.71,40.976582199748535
72,0.72,41.22318083124537
73,0.73,41.22318083124537
74,0.74,42.14014068986939
75,0.75,42.905531327715394
76,0.76,42.99142828733044
77,0.77,42.99142828733044
78,0.78,43.250152339279715
79,0.79,46.10865963783521
80,0.8,46.66529688287211
81,0.81,48.37585342237466
82,0.8200000000000001,50.856137313068416
83,0.8300000000000001,50.856137313068416
84,0.84,53.57062233207311
85,0.85,54.65282105360057
86,0.86,54.871870217092805
87,0.87,55.86850703552094
88,0.88,58.85053110173148
89,0.89,58.85053110173148
90,0.9,62.99156830465424
91,0.91,63.24403926732725
92,0.92,67.55897393315244
93,0.93,69.47735788524926
94,0.9400000000000001,73.92129412880615
95,0.9500000000000001,73.92129412880615
96,0.96,75.11354782722691
97,0.97,80.23830037541312
98,0.98,81.04470897088486
99,0.99,125.33637340693976
100,1.0,126.3430862118549
